Subject,Start_date,Start_time,End_time,Location,Description
Bundesliga Public Viewing,2024-11-23,15:30,,"The Public, Kiel","sport
Live auf 3 Leinwänden und 10 Screens
Location Link: http://thepublic-pubandbar.com/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38311487&date=2024-11-23"
Die Rettung der Sternenfee Mira,2024-11-23,14:00,,"Mediendom, Kiel","medien
Eintritt: 10,00 €
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673822&date=2024-11-23"
Die Legende des Zauberriffs,2024-11-23,15:30,,"Mediendom, Kiel","medien
Eintritt: 10,00 €
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673823&date=2024-11-23"
Milliarden Sonnen - eine Reise durch die Galaxis,2024-11-23,17:00,,"Mediendom, Kiel","medien
Eintritt: 11,00€
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673824&date=2024-11-23"
Planeten - Expedition ins Sonnensystem,2024-11-23,18:30,,"Mediendom, Kiel","medien
Eintritt: 11,00 €
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673825&date=2024-11-23"
Die Midnightshow - das etwas andere Programm,2024-11-23,20:00,,"Mediendom, Kiel","medien
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673827&date=2024-11-23"
Kunsthandwerker-Markt und Basteln,2024-11-23,10:00,,"Arche Warder, Warder, Kiel","sonstige
Location Link: https://www.arche-warder.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36448098&date=2024-11-23"
ALTE MU Wintermarkt,2024-11-23,13:00,,"Alte Mu, Kiel","sonstige
Kunsthandwerksmarkt und Ausklang
Location Link: http://www.altemu.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37865379&date=2024-11-23"
"Kleiderbörse für Erwachsene "" Jung und Alt""",2024-11-23,16:00,,"Gasthof Levensau ""Schweinsgeige"" (Im Saal), Altenholz, Kiel","sonstige
Kleiderbörse für Erwachsene ""Jung und Alt ""
Location Link: http://www.gasthof-levensau.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37860474&date=2024-11-23"
Zauberlichterwald,2024-11-23,16:30,,"Schloss Hagen, Probsteierhagen, Kiel","sonstige
Interaktive Lichterwelt
Location Link: https://www.schloss-hagen.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38318048&date=2024-11-23"
Kieler Weihnachtsmarkt,2024-11-23,,,"Innenstadt, Kiel","sonstige
Location Link: https://www.kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38320808&date=2024-11-23"
Stadtwerke Eisfestival,2024-11-23,,,"Germania Hafen, Kiel","sonstige
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=35121734&date=2024-11-23"
reconnecting.earth - Beyond Water (2),2024-11-23,10:00,,"Stadtgalerie, Kiel","kunst
Location Link: https://www.kiel.de/de/kultur_freizeit/stadtgalerie/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37582602&date=2024-11-23"
