Subject,Start_date,Start_time,End_time,Location,Description
Weihnachtsmarkt im Museum,2024-11-30,11:00,,"Heimatmuseum, Preetz, Kiel","sonstige
Location Link: https://www.museum-preetz.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38143399&date=2024-11-30"
Zauberlichterwald,2024-11-30,16:30,,"Schloss Hagen, Probsteierhagen, Kiel","sonstige
Interaktive Lichterwelt
Location Link: https://www.schloss-hagen.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38318051&date=2024-11-30"
Kieler Weihnachtsmarkt,2024-11-30,,,"Innenstadt, Kiel","sonstige
Location Link: https://www.kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38320808&date=2024-11-30"
Stadtwerke Eisfestival,2024-11-30,,,"Germania Hafen, Kiel","sonstige
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=35121734&date=2024-11-30"
KUNSTMESSE KIEL,2024-11-30,11:00,,"Ostseekai (Cruise Terminal), Kiel","kunst
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37952892&date=2024-11-30"
Musikalische Perlen der Ostseeregion,2024-12-01,11:00,,"musiculum, Kiel","konzert
tags cello, geige, klavier
Location Link: https://musiculum.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38403853&date=2024-12-01"
Akkordeon – Klangfarben hoch zwei,2024-12-01,16:00,,"Petruskirche, Kiel","konzert
tags (teilw.) eintritt frei, akkordeon
Location Link: http://www.akg-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37946780&date=2024-12-01"
"Mache dich auf, werde Licht - Adventskonzert mit dem Madrigalchor Kiel",2024-12-01,17:00,,"St. Nikolai-Kirche, Kiel","konzert
Adventskonzert mit dem Madrigalchor Kiel
Location Link: http://www.st-nikolai-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38314781&date=2024-12-01"
MAGNIFICAT / WEIHNACHTSORATORIUM I-III,2024-12-01,17:00,,"Pauluskirche, Kiel","konzert
Location Link: https://www.heiligengeist-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37772775&date=2024-12-01"
Swinging Christmas Kiel,2024-12-01,17:00,,"St. Heinrich Kirche, Kiel","konzert
Swinging Christmas
Location Link: https://www.st-heinrich-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37673124&date=2024-12-01"
6. Flintbeker Herbstkonzerte,2024-12-01,17:00,,"Evangelische Kirche , Flintbek, Kiel","konzert
Gongkonzert
Location Link: http://www.kirchengemeinde-flintbek.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37664844&date=2024-12-01"
Kinderdisco,2024-12-01,15:00,,"Traum GmbH, Kiel","disco
Spaß für die ganze Familie!
Location Link: https://traumgmbh.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38046203&date=2024-12-01"
Niederdeutsche Bühne Kiel,2024-12-01,16:00,,"Hof Akkerboom, Kiel","literatur
Location Link: http://www.hof-akkerboom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38127345&date=2024-12-01"
Bodo Wartke,2024-12-01,19:00,,"Lutterbeker, Lutterbek, Kiel","literatur
Location Link: https://www.lutterbeker.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37687250&date=2024-12-01"
Hansen oder die Sache mit dem Pinguin,2024-12-01,11:00,,"Niederdeutsche Bühne, Kiel","theater
Location Link: https://www.niederdeutschebuehne-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36623862&date=2024-12-01"
Weihnachtsmärchen 2024 – „Rumpelstilzchen“,2024-12-01,11:00,,"Friedrich Ebert Halle, Preetz, Kiel","theater
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37502687&date=2024-12-01"
"Mitspieltheater ""Schneewittchen""",2024-12-01,12:00,,"Traum GmbH (Orange Club), Kiel","theater
Interaktives Theater für die ganze Familie
Location Link: https://traumgmbh.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37588704&date=2024-12-01"
Eine Weihnachtsgeschichte,2024-12-01,14:30,,"Opernhaus, Kiel","theater
Musiktheater für junges Publikum nach Charles Dickens
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37860639&date=2024-12-01"
Der Mond und das Boot,2024-12-01,15:00,,"Theater im Werftpark, Kiel","theater
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37417008&date=2024-12-01"
TIERE IM HOTEL,2024-12-01,15:00,,"Theater im Werftpark, Kiel","theater
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37416800&date=2024-12-01"
Weihnachtsmärchen 2024 – „Rumpelstilzchen“,2024-12-01,15:00,,"Friedrich Ebert Halle, Preetz, Kiel","theater
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37502688&date=2024-12-01"
Weiber 3 - Der Berg ruft,2024-12-01,15:00,,"Lore & Lay Theaterfrachter Kiel, Kiel","theater
ab 31,00 €
Location Link: https://loreundlay-theater-schiff.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36706187&date=2024-12-01"
Weihnachtsmärchen: Die Schneekönigin,2024-12-01,16:00,,"Savoy, Bordesholm, Kiel","theater
Location Link: https://savoy-bordesholm.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36695556&date=2024-12-01"
De Bank in Park,2024-12-01,16:00,,"Lachmöwen-Theater, Laboe, Kiel","theater
Location Link: https://www.lachmoewen.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36208561&date=2024-12-01"
PREMIERE Die Weihnachtsgeschichte,2024-12-01,16:00,,"Naturerlebniszentrum Kollhorst, Kiel","theater
Märchentheater für die ganze Familie
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37588621&date=2024-12-01"
Eine Weihnachtsgeschichte,2024-12-01,18:00,,"Opernhaus, Kiel","theater
Musiktheater für junges Publikum nach Charles Dickens
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37860640&date=2024-12-01"
Dirk Schäfer: Salto Cannibale (Uraufführung),2024-12-01,19:00,,"Schauspielhaus, Kiel","theater
eine literarisch-musikalische Spurensuche
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37772864&date=2024-12-01"
Catcher in the Sky,2024-12-01,19:00,,"Mensa I am Westring (Bühne im Großen Saal (1.OG)), Kiel","theater
Location Link: http://www.uni-kiel.de/stwsh/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38233343&date=2024-12-01"
"Mehr Nutten, mehr Koks – scheiss auf die Erdbeeren!",2024-12-01,19:30,,"Wunderino Arena, Kiel","theater
Abschiedstour - Die letzte Runde
Location Link: https://www.wunderino-arena.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=34250749&date=2024-12-01"
Führungen im Flandernbunker,2024-12-01,11:30,,"Flandernbunker (Mahnmal Kilian e.V.), Kiel","vortrag
Location Link: http://www.mahnmalkilian.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=83398&date=2024-12-01"
Kiel festhalten. Stadtansichten von Gretel Riemann,2024-12-01,11:30,,"Stadtmuseum Warleberger Hof, Kiel","vortrag
tags (teilw.) eintritt frei
Location Link: https://www.kiel.de/de/kultur_freizeit/museum/stadtmuseum_warleberger_hof.php
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37953893&date=2024-12-01"
Skate Fever - Schaulaufen der REG Kiel e.V.,2024-12-01,16:00,,"Stralsundhalle, Kiel","sport
Schaulaufen der REG Kiel e.V.
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38318042&date=2024-12-01"
Der Regenbogenfisch und seine Freunde,2024-12-01,14:00,,"Mediendom, Kiel","medien
Eintritt: 10,00 €
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38127989&date=2024-12-01"
Polaris - das Weltraum-U-Boot,2024-12-01,15:30,,"Mediendom, Kiel","medien
Eintritt: 10,00 €
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38127990&date=2024-12-01"
Allein im All?,2024-12-01,17:00,,"Mediendom, Kiel","medien
Eintritt: 11,00 €
Location Link: http://www.mediendom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38127991&date=2024-12-01"
Flohmarkt kaufland Mettenhof,2024-12-01,06:00,,"Kaufland Kiel Mettenhof, Kiel","sonstige
tags flohmarkt
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=34080612&date=2024-12-01"
Flohmarkt - CITTI-PARK Kiel,2024-12-01,08:30,,"CITTI PARK Kiel, Kiel","sonstige
tags flohmarkt
Location Link: https://www.citti-park-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37986785&date=2024-12-01"
Weihnachtsmarkt im Museum,2024-12-01,11:00,,"Heimatmuseum, Preetz, Kiel","sonstige
Location Link: https://www.museum-preetz.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38143400&date=2024-12-01"
Kleider&Flohmarkt im Prinz Willy,2024-12-01,15:00,,"Prinz Willy, Kiel","sonstige
tags (teilw.) eintritt frei, flohmarkt
Location Link: https://www.prinzwilly.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38311596&date=2024-12-01"
Muddi Wintermarkt ✨,2024-12-01,15:00,,"Hansa48, Kiel","sonstige
tags (teilw.) eintritt frei
Location Link: https://www.hansa48.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38313997&date=2024-12-01"
Zauberlichterwald,2024-12-01,16:30,,"Schloss Hagen, Probsteierhagen, Kiel","sonstige
Interaktive Lichterwelt
Location Link: https://www.schloss-hagen.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38318052&date=2024-12-01"
A Cappella Party - A cappella,2024-12-01,17:00,,"CAU Audimax, Kiel","sonstige
Location Link: https://www.uni-kiel.de/de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37857068&date=2024-12-01"
Jam Session für experimentelle Musik im FahrradKinoKombinat,2024-12-01,17:00,,"Alte Mu (FahrradKinoKombinat), Kiel","sonstige
Location Link: http://www.altemu.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38402187&date=2024-12-01"
TANGO AM KAI // Moderner und klassischer Tango,2024-12-01,19:30,,"Blauer Engel, Kiel","sonstige
Location Link: https://www.blauerengel-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36272793&date=2024-12-01"
Kieler Weihnachtsmarkt,2024-12-01,,,"Innenstadt, Kiel","sonstige
Location Link: https://www.kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38320808&date=2024-12-01"
Stadtwerke Eisfestival,2024-12-01,,,"Germania Hafen, Kiel","sonstige
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=35121734&date=2024-12-01"
KUNSTMESSE KIEL,2024-12-01,11:00,,"Ostseekai (Cruise Terminal), Kiel","kunst
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37952893&date=2024-12-01"
kleiner Kunstmarkt,2024-12-01,11:00,,"Kulturwerft e.V., Kiel","kunst
tags (teilw.) eintritt frei
Location Link: https://kultur-werft.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38231855&date=2024-12-01"
Kiel - Kanal heute und Stadt früher,2024-12-01,,,"Verein „Maritimes Viertel“, Kiel","kunst
Location Link: http://maritimesviertel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=35578843&date=2024-12-01"
JAZZ-CAFÉ im STATT-CAFÉ,2024-12-02,20:00,,"Statt-Café, Kiel","konzert
tags jazz
Location Link: https://www.statt-cafe-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38225410&date=2024-12-02"
BACHATA LOVERS // Party mit Walid,2024-12-02,19:00,,"Blauer Engel, Kiel","disco
Location Link: https://www.blauerengel-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36272833&date=2024-12-02"
"ABDELKARIM - ""Plan Z - jetzt will er´s wissen""",2024-12-02,20:00,,"Güterbahnhof, Kiel","comedy
tags kabarett, comedy
Location Link: http://www.budenzauber-catering.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37067389&date=2024-12-02"
MEIN LEBEN – (D)EIN TRAUM,2024-12-02,20:00,,"Schauspielhaus (Reihe 17), Kiel","theater
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38145862&date=2024-12-02"
Kiel festhalten. Stadtansichten von Gretel Riemann,2024-12-02,11:30,,"Stadtmuseum Warleberger Hof, Kiel","vortrag
tags (teilw.) eintritt frei
Location Link: https://www.kiel.de/de/kultur_freizeit/museum/stadtmuseum_warleberger_hof.php
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37953893&date=2024-12-02"
Pub Quiz,2024-12-02,20:00,,"Pogue Mahone, Kiel","sonstige
Location Link: https://poguemahone.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=244&date=2024-12-02"
Kieler Weihnachtsmarkt,2024-12-02,,,"Innenstadt, Kiel","sonstige
Location Link: https://www.kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38320808&date=2024-12-02"
Stadtwerke Eisfestival,2024-12-02,,,"Germania Hafen, Kiel","sonstige
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=35121734&date=2024-12-02"
HIER UND JETZT Gemeinsam für die Demokratie,2024-12-02,18:00,,"vhs-Kunstschule im Neuen Rathaus, Kiel","kunst
tags (teilw.) eintritt frei
Location Link: https://www.foerde-vhs.de/projekte/ausstellungen/hier-und-jetzt
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38319675&date=2024-12-02"
