Title,Location,Categories,Date,Time
Werkstatt-Theater: Eingeschlossene Gesellschaft von Jan Weiler,Kommunikationszentrum Hansastrasse 48 e. V.,"['Theater', 'Kultur']",23.11.2024,ganztägig
d´Artagnan,Die Pumpe e.V. - Kultur- und Kommunikationszentrum,"['Konzert', 'Kultur']",23.11.2024,20:00 - 23:00 Uhr
Rockaby - Schluss jetzt - Bing,Schauspielhaus Kiel,"['Theater', 'Kultur']",23.11.2024,20:30 - 21:50 Uhr
Livemusik,Pogue Mahone Irish Pub,"['Konzert', 'Nachtleben', 'Kultursommer']",23.11.2024,22:00 - 02:00 Uhr
Weihnachtsmarkt im CITTI-Park,CITTI-PARK,"['Gastronomie', 'Kinderprogramm', 'Konzert', 'Märkte', 'Regionale Spezialitäten', 'Shopping', 'Sport/Freizeit', 'Kultur']",24.11.2024,09:00 - 20:00 Uhr
Stadtwerke Eisfestival,Germaniahafen,"['Sport/Freizeit', 'Kinderprogramm', 'Kultur']",24.11.2024,10:00 - 20:00 Uhr
Kiel festhalten. Stadtansichten von Gretel Riemann,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur']",24.11.2024,10:00 - 18:00 Uhr
Kaufrausch. Konsum und Warenwelten der 1980er Jahre,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",24.11.2024,10:00 - 18:00 Uhr
Der Gewölbekeller. Kostbarkeiten aus dem Alten Kiel,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",24.11.2024,10:00 - 18:00 Uhr
Weihnachtsmarkt im CITTI-Park,CITTI-PARK,"['Gastronomie', 'Kinderprogramm', 'Konzert', 'Märkte', 'Regionale Spezialitäten', 'Shopping', 'Sport/Freizeit', 'Kultur']",24.11.2024,09:00 - 20:00 Uhr
Wohltemperiert. Für klimagerechte Architektur!,Freilichtmuseum Molfsee,"['Ausstellung', 'Kultur']",24.11.2024,10:00 - 17:00 Uhr
Kiel festhalten. Stadtansichten von Gretel Riemann,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur']",24.11.2024,10:00 - 18:00 Uhr
Spaziergang und offenes Büro auf dem Friedhof Russee,Friedhof Russee,"['Führung/Besichtigung', 'Kultur']",24.11.2024,10:00 - 15:00 Uhr
Stadtwerke Eisfestival,Germaniahafen,"['Sport/Freizeit', 'Kinderprogramm', 'Kultur']",24.11.2024,10:00 - 20:00 Uhr
Spaziergänge und offenes Büro auf dem Nordfriedhof,Nordfriedhof,"['Führung/Besichtigung', 'Kultur']",24.11.2024,10:00 - 15:00 Uhr
Spaziergang und offenes Büro auf dem Urnenfriedhof,Alter Urnenfriedhof,"['Führung/Besichtigung', 'Kultur']",24.11.2024,10:00 - 15:00 Uhr
Kaufrausch. Konsum und Warenwelten der 1980er Jahre,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",24.11.2024,10:00 - 18:00 Uhr
Der Gewölbekeller. Kostbarkeiten aus dem Alten Kiel,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",24.11.2024,10:00 - 18:00 Uhr
Spaziergang und offenes Büro auf dem Ostfriedhof,Ostfriedhof,"['Führung/Besichtigung', 'Konzert', 'Kultur']",24.11.2024,10:00 - 15:00 Uhr
Kunstraum Sconeberg mit ganzjährigem Ausstellungsangebot,Kunstraum Sconeberg,"['Ausstellung', 'Kultur']",24.11.2024,11:00 - 18:00 Uhr
Hansen und die Sache mit dem Pinguin,Niederdeutsche Bühne,"['Kinderprogramm', 'Kultur', 'Theater']",24.11.2024,11:00 - 12:00 Uhr
Land der Legenden - Die Norddeutschen Realisten in der Bretagne,Künstlermuseum Heikendorf,"['Ausstellung', 'Kultur']",24.11.2024,11:00 - 17:00 Uhr
Prima Kunst: Johanna Blank – The Cabin,Stadtgalerie Kiel,"['Ausstellung', 'Kultur']",24.11.2024,11:00 - 17:00 Uhr
Weihnachtsbasar,Arbeiter-Samariter-Bund RV Kiel,"['Märkte', 'Kultur']",24.11.2024,11:00 - 17:00 Uhr
Kiel (re)connecting.earth. Beyond Water,Stadtgalerie Kiel,"['Ausstellung', 'Kultur']",24.11.2024,11:00 - 17:00 Uhr
Sonntagsführung durch den Flandernbunker,Flandernbunker,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",24.11.2024,11:30 - 13:00 Uhr
"Sonntagsführung zur Ausstellung ""Kaufrausch, Konsum und Warenwelten der 1980er Jahre""",Stadtmuseum Warleberger Hof,"['Führung/Besichtigung', 'Kultursommer', 'Kultur']",24.11.2024,11:30 - 12:30 Uhr
Führung durch unsere Sonderausstellung Land der Legenden. Die Norddeutschen Realisten in der Bretagne,Künstlermuseum Heikendorf,"['Ausstellung', 'Führung/Besichtigung']",24.11.2024,12:00 - 13:00 Uhr
Mitspieltheater in der TraumGmbH,Traum GmbH,"['Kinderprogramm', 'Kultur', 'Kultursommer', 'Theater']",24.11.2024,12:00 - 13:00 Uhr
HOLIDAY ON ICE – HORIZONS in Kiel,Wunderino Arena,"['Kultur', 'Sport/Freizeit']",24.11.2024,13:00 - 15:00 Uhr
Armstrong,Mediendom,"['Kultursommer', 'Kinderprogramm']",24.11.2024,14:00 - 15:00 Uhr
Talking to Water | Gemälde von Susanne Wurlitzer,Galerie Brennwald,"['Ausstellung', 'Kultur']",24.11.2024,15:00 - 18:00 Uhr
"Kaufrausch, Konsum und 99 Luftballons",Stadtmuseum Warleberger Hof,['Führung/Besichtigung'],24.11.2024,15:00 - 16:30 Uhr
"Sonntagsführung durch die Ausstellung ""Kiel festhalten. Stadtansichten von Gretel Riemann""",Stadtmuseum Warleberger Hof,"['Führung/Besichtigung', 'Kultur']",24.11.2024,15:30 - 16:30 Uhr
Limbradur und die Magie der Schwerkraft,Mediendom,"['Kinderprogramm', 'Kultur', 'Kultursommer']",24.11.2024,15:30 - 16:30 Uhr
JazzCafe,Hof Akkerboom e.V.,"['Kultur', 'Konzert']",24.11.2024,16:00 - 18:00 Uhr
Sternenhimmel und Planeten,Mediendom,"['Kultur', 'Kultursommer', 'Kinderprogramm']",24.11.2024,17:00 - 18:00 Uhr
"Johann Sebastian Bach: Kantate Nr. 140 „Wachet auf, ruft uns die Stimme“",St. Nikolaikirche,"['Kirche', 'Konzert', 'Kultur']",24.11.2024,18:00 - 20:00 Uhr
Space Tour,Mediendom,"['Kultur', 'Kultursommer']",24.11.2024,18:30 - 19:30 Uhr
Der Mensch dahinter,Rathaus Kiel,"['Ausstellung', 'Kultur']",25.11.2024,08:00 - 18:00 Uhr
Weihnachtsmarkt im CITTI-Park,CITTI-PARK,"['Gastronomie', 'Kinderprogramm', 'Konzert', 'Märkte', 'Regionale Spezialitäten', 'Shopping', 'Sport/Freizeit', 'Kultur']",25.11.2024,09:00 - 20:00 Uhr
"Figurentheater Blauer Mond spielt: Yolka, das Trollmädchen",KulturForum in der Stadtgalerie,"['Kinderprogramm', 'Kultur', 'Theater']",25.11.2024,10:00 - 11:00 Uhr
Weihnachten im Sophienhof,Sophienhof,"['Kinderprogramm', 'Shopping', 'Kultur', 'Märkte']",25.11.2024,10:00 - 20:00 Uhr
"""Raum für neue Schaukelkultur""",Pop-up Pavillon,"['Ausstellung', 'Führung/Besichtigung', 'Kultur', 'Sport/Freizeit']",25.11.2024,11:00 - 18:00 Uhr
Weihnachtsmarkt - Holstenplatz,Holstenplatz,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten', 'Kultur', 'Märkte']",25.11.2024,11:00 - 20:00 Uhr
Weihnachtsmarkt - Asmus-Bremer-Platz,Asmus-Bremer-Platz,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten', 'Kultur', 'Märkte']",25.11.2024,11:00 - 20:00 Uhr
"Riesenrad am Bahnhof ""La Noria""",Kiel Hauptbahnhof,"['Kultur', 'Sport/Freizeit']",25.11.2024,11:00 - 21:00 Uhr
Weihnachtsmarkt Rathausplatz,Rathausplatz,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten', 'Kultur', 'Märkte']",25.11.2024,11:00 - 21:00 Uhr
Kunstraum Sconeberg mit ganzjährigem Ausstellungsangebot,Kunstraum Sconeberg,"['Ausstellung', 'Kultur']",25.11.2024,11:00 - 18:00 Uhr
