,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
206,SO SOON,05.12.,05.12.,20:00,N/A,hansa48,Kiel,"https://rausgegangen.de/events/so-soon-20/ , Preis: 20,22 €",Konzerte & Musik,music
207,Odd Beholder,07.12.,07.12.,19:00,N/A,hansa48,Kiel,"https://rausgegangen.de/events/odd-beholder-kiel-0/ , Preis: 16,83 €",Konzerte & Musik,music
208,"Odd Beholder ""Something to Feel Better"" - Tour",07.12.,07.12.,20:00,N/A,hansa48,Kiel,"https://rausgegangen.de/events/odd-beholder-something-to-feel-better-tour-3/ , Preis: 15,00 bis 26,00 €",Konzerte & Musik,music
209,3. Philharmonisches Konzert: PASTORALE & TIMES SQUARE,08.12.,08.12.,11:00,N/A,Wunderino Arena,Kiel,"https://rausgegangen.de/events/3-philharmonisches-konzert-pastorale-times-square-0/ , Preis: 17,70 bis 41,60 €",Konzerte & Musik,music
210,Marlo Grosshardt,08.12.,08.12.,20:00,N/A,Die Pumpe,Kiel,"https://rausgegangen.de/events/marlo-grosshardt-8/ , Preis: 23,00 bis 26,00 €",Konzerte & Musik,music
211,Marlo Grosshardt- „Alles bis Italien - Tour“,08.12.,08.12.,20:00,N/A,Die Pumpe,Kiel,"https://rausgegangen.de/events/marlo-grosshardt-alles-bis-italien-tour-10/ , Preis: 22,95 €",Konzerte & Musik,music
212,The Scottish Music Parade,10.12.,10.12.,20:00,N/A,Wunderino Arena,Kiel,"https://rausgegangen.de/events/the-scottish-music-parade-1/ , Preis: 37,00 €",Konzerte & Musik,music
213,TORFROCK - Bagalutenwiehnacht 2024 + spezielle spezial Gäste,12.12.,12.12.,20:00,N/A,Die Pumpe,Kiel,"https://rausgegangen.de/events/torfrock-bagalutenwiehnacht-2024-spezielle-spezial-gaste-0/ , Preis: 29,00 €",Konzerte & Musik,music
214,Jalbd Shows präsentiert: Just a little bit Dangerous Fest XX,13.12.,13.12.,20:00,N/A,hansa48,Kiel,"https://rausgegangen.de/events/jalbd-shows-prasentiert-just-a-little-bit-dangerous-fest-xx-0/ , Preis: 18,00 bis 21,00 €",Konzerte & Musik,music
215,Matthias Reim,13.12.,13.12.,20:00,N/A,Wunderino Arena,Kiel,"https://rausgegangen.de/events/matthias-reim-5/ , Preis: 39,90 €",Konzerte & Musik,music
