,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
90,MY DIRTY X-MAS! diese Party wird PORNO! 16+ anzeigen,25.12.,25.12.,21:00,N/A,Event Arena Spornitz,"Spornitz, MV",https://www.eventbrite.de/e/my-dirty-x-mas-diese-party-wird-porno-16-tickets-1075590693719?aff=ebdssbdestsearch,music,music
91,Beach Sounds mit DJ Crish anzeigen,21.12.,21.12.,19:30,N/A,Beach Motel Heiligenhafen,"Heiligenhafen, SH",https://www.eventbrite.de/e/beach-sounds-mit-dj-crish-tickets-957295425387?aff=ebdssbdestsearch,music,music
92,WILLY WILL X JUICEDUP anzeigen,7.12.,7.12.,23:00,N/A,Aura Lounge Hannover,"Hannover, NDS",https://www.eventbrite.de/e/willy-will-x-juicedup-tickets-1080333770389?aff=ebdssbdestsearch,music,music
93,Saints & Sinners X Cookies  - New Years Eve anzeigen,31.12.,31.12.,22:00,N/A,Rp5 Stage,"Hannover, NDS",https://www.eventbrite.de/e/saints-sinners-x-cookies-new-years-eve-tickets-1090088386709?aff=ebdssbdestsearch,music,music
94,brat party • w/ charli xcx & other brat coded artists • hannover anzeigen,6.12.,6.12.,23:00,N/A,Kulturzentrum Faust,"Hannover, NDS",https://www.eventbrite.com/e/brat-party-w-charli-xcx-other-brat-coded-artists-hannover-tickets-1053293572429?aff=ebdssbdestsearch,music,music
95,King Kong Kicks • Indie Pop Party • Faust Hannover anzeigen,13.12.,13.12.,23:59,N/A,Kulturzentrum Faust,"Hannover, NDS",https://www.eventbrite.com/e/king-kong-kicks-indie-pop-party-faust-hannover-tickets-1009068780887?aff=ebdssbdestsearch,music,music
96,"Cookies X-Mas Edition with DJ ClimeX, SoSoKev & Rough MC anzeigen",25.12.,25.12.,23:00,N/A,Rp5 Stage,"Hannover, NDS",https://www.eventbrite.de/e/cookies-x-mas-edition-with-dj-climex-sosokev-rough-mc-tickets-1091334523939?aff=ebdssbdestsearch,music,music
97,RAVE INTO SPACE VOL.7 / BOILER RAVE INKL.360°STAGE anzeigen,13.12.,13.12.,23:30,N/A,Kulturzentrum Faust,"Hannover, NDS",https://www.eventbrite.de/e/rave-into-space-vol7-boiler-rave-inkl360stage-tickets-1045022098227?aff=ebdssbdestsearch,music,music
98,Cookies Tape X - Jamin Live On Stage + Cookies After Show Party anzeigen,12.12.,12.12.,21:00,N/A,Rp5 Stage,"Hannover, NDS",https://www.eventbrite.de/e/cookies-tape-x-jamin-live-on-stage-cookies-after-show-party-tickets-1091306770929?aff=ebdssbdestsearch,music,music
99,Oldschool Club | Glitzerkeller Hannover | 28.12.2024 anzeigen,28.12.,28.12.,22:00,N/A,Glitzerkeller,"Hannover, NDS",https://www.eventbrite.de/e/oldschool-club-glitzerkeller-hannover-28122024-tickets-1097251451629?aff=ebdssbdestsearch,music,music
100,"MUSCHIHAUS TICKETS ""LA BOOM...DIE FETE! CMR - ALL AREAS 25.12.24 I 20 - 5 h anzeigen",25.12.,25.12.,20:00,N/A,Nordkurve,"Hannover, NDS",https://www.eventbrite.de/e/muschihaus-tickets-la-boomdie-fete-cmr-all-areas-251224-i-20-5-h-tickets-1029400082357?aff=ebdssbdestsearch,music,music
101,FORCING 2025 Ticket STEVE MASON & MORE - Nordkurve Hannover 20 h - Open End anzeigen,31.12.,31.12.,20:00,N/A,Nordkurve,"Hannover, NDS",https://www.eventbrite.de/e/forcing-2025-ticket-steve-mason-more-nordkurve-hannover-20-h-open-end-tickets-1057720082239?aff=ebdssbdestsearch,music,music
102,Silvester im Lux: Take Me Out: Rewind! Classics anthems rule! anzeigen,31.12.,31.12.,23:00,N/A,Lux,"Hannover, Niedersaschen",https://www.eventbrite.de/e/silvester-im-lux-take-me-out-rewind-classics-anthems-rule-tickets-1081311003319?aff=ebdssbdestsearch,music,music
103,Baddies Night anzeigen,21.12.,21.12.,23:00,N/A,Kiez Club,"Hannover, NDS",https://www.eventbrite.de/e/baddies-night-tickets-1097651668689?aff=ebdssbdestsearch,music,music
104,DITA E FLAMURIT anzeigen,30.11.,30.11.,23:00,N/A,Rp5 Stage,"Hannover, NDS",https://www.eventbrite.com/e/dita-e-flamurit-tickets-1082450060269?aff=ebdssbdestsearch,music,music
105,Megamarsch 50/12 Ostsee 2025 - Schleswig-Holstein - Grömitz nach Scharbeutz anzeigen,26.04.,26.04.,07:30,N/A,Wiese an der Promenade,"Grömitz, SN",https://www.eventbrite.com/e/megamarsch-5012-ostsee-2025-schleswig-holstein-gromitz-nach-scharbeutz-tickets-887484619387?aff=ebdssbdestsearch,sports-and-fitness,no music
