,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
12,16. Festival der RockPop-Schule Lübeck - 20 Jahre RockPop-Schule Lübeck,30.11.2024,30.11.2024,19:00,N/A,Werkhof,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Musik,music
13,Classic Rock mit Glory Row,30.11.2024,30.11.2024,19:00,N/A,Rider's Café,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Musik,music
14,Martin Pepper - Live-Konzert,30.11.2024,30.11.2024,19:00,N/A,Gemeinschaft in der Ev. Kirche,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Musik,music
15,Nordisches Adventskonzert,30.11.2024,30.11.2024,19:00,N/A,Propsteikirche Herz Jesu,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Musik,music
16,Feuerengel - Rammstein Tribute Band,30.11.2024,30.11.2024,20:00,N/A,Kulturwerft Gollan,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Musik,music
17,The Beatles today - Now And Then,30.11.2024,30.11.2024,20:00,N/A,Kolosseum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Musik,music
18,Martin liest den Koran,30.11.2024,30.11.2024,20:30,N/A,Kommunales Kino Lübeck – Kino Koki,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Film,no music
19,Shambhala (OmU),30.11.2024,30.11.2024,17:30,N/A,Kommunales Kino Lübeck – Kino Koki,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Film,no music
20,Renate Straatmann und Ulrlike Dillig: Form trifft Farbe,30.11.2024,30.11.2024,09:30,N/A,Ostholstein-Museum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Ausstellungen,no music
21,Bestattungskulturen in Lübeck und der Welt. Vom Ruheort zum Coffin Dance,30.11.2024,30.11.2024,10:00,N/A,Geschichtswerkstatt Herrenwyk,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Ausstellungen,no music
22,Buddenbrooks im Behnhaus,30.11.2024,30.11.2024,10:00,N/A,Museum Behnhaus Drägerhaus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Ausstellungen,no music
23,Grass TANZBAR,30.11.2024,30.11.2024,10:00,N/A,Günter Grass-Haus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Ausstellungen,no music
24,Gärtnern in der Stadt - Die grüne Vielfalt Lübecks,30.11.2024,30.11.2024,10:00,N/A,Museum für Natur und Umwelt,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Ausstellungen,no music
25,Heather Phillipson: Extra Time,30.11.2024,30.11.2024,10:00,N/A,Kunsthalle St. Annen,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Ausstellungen,no music
26,Thomas Manns „Der Zauberberg“. Fiebertraum und Höhenrausch,30.11.2024,30.11.2024,10:00,N/A,St. Annen-Museum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Ausstellungen,no music
27,Unsere Wakenitz,30.11.2024,30.11.2024,10:00,N/A,Museum für Natur und Umwelt,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Ausstellungen,no music
28,Von Caspar David Friedrich bis Edvard Munch - Die Highlights der Sammlung im Drägerhaus,30.11.2024,30.11.2024,10:00,N/A,Museum Behnhaus Drägerhaus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Ausstellungen,no music
29,Caroline Kryzecki: Struggle for Pleasure,30.11.2024,30.11.2024,11:00,N/A,Overbeck-Gesellschaft,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Ausstellungen,no music
30,"aufgenommen!2024: Sonja Koczula, Kirsten Piper und Johanna Sayk",30.11.2024,30.11.2024,11:00,N/A,GEDOK Lübeck,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Ausstellungen,no music
31,Johannes Brahms - Beziehungszauber,30.11.2024,30.11.2024,14:00,N/A,Villa Brahms,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Ausstellungen,no music
32,Adventsmärchen Zauberhafter Zauberberg,30.11.2024,30.11.2024,12:00,N/A,Museumsshop 'Buddenbrooks am Markt',Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Literatur,no music
33,Ein Abend mit Meisterwerken der Kunst und Stefan Krause,30.11.2024,30.11.2024,19:00,N/A,Bücherpiraten-Haus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Literatur,no music
34,HAFENGLÜHEN - Weihnachtsmarkt am Drehbrückenplatz,30.11.2024,30.11.2024,11:00,N/A,Drehbrückenplatz,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Sonstiges,no music
35,Kunsthandwerkermarkt St. Petri,30.11.2024,30.11.2024,11:00,N/A,St. Petri Lübeck,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Sonstiges,no music
36,Lübecker Weihnachtsmarkt am Rathaus,30.11.2024,30.11.2024,11:00,N/A,Markt Lübeck,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Sonstiges,no music
37,Maritimer Weihnachtsmarkt am Koberg,30.11.2024,30.11.2024,11:00,N/A,Koberg,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Sonstiges,no music
38,Mittelalterlicher Weihnachtsmarkt,30.11.2024,30.11.2024,11:00,N/A,Kirchhof St. Marien,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Sonstiges,no music
39,Märchenwald an der Marienkirche,30.11.2024,30.11.2024,11:00,N/A,Kirchplatz St. Marien,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Sonstiges,no music
