,Date,Event,Time,Location,Category,Source
15,2024-10-10,Daina Weinland - POP-UP-GALERIE,12:00,Galeriewerkstatt Caroline Rügge,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
16,2024-10-10,"Text trifft Tanke - Kunstwerke zum Thema ""Schöpfung"" lyrisch interpretiert",16:00,Kunsttankstelle Defacto Art,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
17,2024-10-10,Dr. Mark Benecke - „Blutspuren“,20:00,Kolosseum,Sonstiges,https://www.unser-luebeck.de/veranstaltungskalender/
0,2024-10-11,Die Kitzelspinne - Figurentheater KOLK 17,15:00,Europäisches Hansemuseum,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
1,2024-10-11,Der Wunschpunsch - Figurentheater KOLK 17,19:30,Europäisches Hansemuseum,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
2,2024-10-11,Die Niere,19:30,Comödie Lübeck,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
3,2024-10-11,Himmlische Zeiten,19:30,Theaterschiff,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
4,2024-10-11,Der Vampir,20:00,Theaterhaus der Gemeinnützigen,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
5,2024-10-11,Improtheater Instant SL,20:00,Theater Combinale,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
6,2024-10-11,Jeeps,20:00,Theater Lübeck – Kammerspiele,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
7,2024-10-11,Letzte Lieder,20:00,Die Eiche - Kolumbarium,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
8,2024-10-11,Name: Sophie Scholl,20:00,Theater Lübeck – Junges Studio,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
9,2024-10-11,Musizierstunde Flöte,17:00,Musikhochschule – Kammermusiksaal,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
10,2024-10-11,Lieder aus den Lagern - Lieder aus dem Widerstand 1933-1945,18:30,VHS Falkenplatz,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
11,2024-10-11,Alex Diehl – Lübeck / Solo & Unplugged,19:00,Rider's Café,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
12,2024-10-11,sZiggy´s UNPLUGGED,19:30,sZiggy´s Bar,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
13,2024-10-11,Musik für Violine,20:00,Musikhochschule – Kammermusiksaal,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
14,2024-10-11,Nurk,20:00,Tonfink,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
15,2024-10-11,El Flecha Negra - 10 Jahre Jubiläums-Tour,21:30,Treibsand,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
16,2024-10-11,Touch (OmU),20:30,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
17,2024-10-11,Wildes Land – Die Rückkehr der Natur,18:30,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
18,2024-10-11,Unsere Wakenitz,09:00,Museum für Natur und Umwelt,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
