,Title,Location,Categories,Date,Time
314,"22. Kieler Indoor Musikflohmarkt – Live: Miles King (Soul, Frankfurt)",Kultur- und Kommunikationszentrum Hansa48 e.V.,"['Flohmarkt', 'Kultur']",13.10.2024,12:00 - 18:00 Uhr
315,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",13.10.2024,13:00 Uhr
316,Somalischer Kochkurs-vegetarisch,ALTE MU Impuls – Werk e.V.,['Kultur'],13.10.2024,13:00 - 17:00 Uhr
317,Zauber der Anderswelt - Musik für die Seele,Mediendom,"['Kultur', 'Kultursommer']",13.10.2024,14:00 - 15:00 Uhr
318,Alles andere als grau,Förderverein Freya-Frahm-Haus,['Ausstellung'],13.10.2024,14:00 - 18:00 Uhr
319,Sonntagsführung durch die Dauerausstellung,Schifffahrtsmuseum,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",13.10.2024,14:30 - 15:30 Uhr
320,Auf Wasserwegen | Skulpturen und Zeichnungen von Michael Jastram,Galerie Brennwald,['Ausstellung'],13.10.2024,15:00 - 18:00 Uhr
321,"""Schon mal mit einem Gedächtnistrainer eine Ausstellung erkundet?""",Stadtmuseum Warleberger Hof,"['Führung/Besichtigung', 'Kultur']",13.10.2024,15:00 - 16:00 Uhr
322,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",13.10.2024,15:00 Uhr
323,Ladies Night – Ganz oder gar nicht,Lore & Lay Theater-Frachter,"['Kultur', 'Theater']",13.10.2024,15:00 - 17:30 Uhr
324,Die Legende des Zauberriffs,Mediendom,"['Kinderprogramm', 'Kultur', 'Kultursommer']",13.10.2024,15:30 - 16:30 Uhr
325,"""Schon mal mit einem Gedächtnistrainer eine Ausstellung erkundet?""",Stadtmuseum Warleberger Hof,"['Führung/Besichtigung', 'Kultur']",13.10.2024,16:30 - 17:30 Uhr
326,Unendliche Weiten,Mediendom,"['Kultur', 'Kultursommer']",13.10.2024,17:00 - 18:00 Uhr
327,Der Rosenkavalier,Opernhaus,['Theater'],13.10.2024,17:00 - 21:00 Uhr
328,SING MIT! Mitsing-Konzert mit dem inklusiven Chor BUNTE FARBEN & Band,KulturForum in der Stadtgalerie,"['Konzert', 'Kultur']",13.10.2024,17:00 - 19:00 Uhr
329,Elvis lebt!,Theater Die Komödianten,"['Kultur', 'Theater']",13.10.2024,18:00 - 19:30 Uhr
330,Ole Leev (Alte Liebe),Niederdeutsche Bühne,"['Theater', 'Kultur']",13.10.2024,18:00 - 20:00 Uhr
331,Queen Heaven – The Original,Mediendom,"['Kultur', 'Kultursommer']",13.10.2024,18:30 - 19:45 Uhr
332,Die Laborantin,Schauspielhaus Kiel,"['Kultur', 'Theater']",13.10.2024,19:30 - 21:50 Uhr
333,(re)connecting.earth - Kiel 2024,Innenstadt Kiel,"['Ausstellung', 'Kultur']",14.10.2024,ganztägig
334,Kultur-Rausch: Kieler-Kultur-Wochen,Welcome Center Kieler Förde,"['Kultur', 'Lesungen', 'Nachtleben', 'Konzert']",14.10.2024,ganztägig
335,Kunstraum Sconeberg mit ganzjährigem Ausstellungsangebot,Kunstraum Sconeberg,"['Ausstellung', 'Kultur']",14.10.2024,11:00 - 18:00 Uhr
336,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",14.10.2024,11:00 Uhr
337,Faszination Epoxidharz,Pop-up Pavillon,"['Ausstellung', 'Kultur']",14.10.2024,11:00 - 18:00 Uhr
338,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",14.10.2024,13:00 Uhr
339,Alles andere als grau,Förderverein Freya-Frahm-Haus,['Ausstellung'],14.10.2024,14:00 - 18:00 Uhr
340,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",14.10.2024,15:00 Uhr
341,Zukunftsgespräch Schleswig-Holstein,Romantikhotel Kieler Kaufmann,"['Kongress', 'Wissenschaft', 'Kultur']",14.10.2024,18:30 - 20:30 Uhr
342,Folk-Bühne live & unplugged im STATT-CAFÉ,KulturForum in der Stadtgalerie,"['Konzert', 'Kultur']",14.10.2024,20:00 - 22:00 Uhr
343,Pub Quiz,Pogue Mahone Irish Pub Kiel,"['Kultur', 'Kultursommer']",14.10.2024,20:00 - 23:00 Uhr
344,(re)connecting.earth - Kiel 2024,Innenstadt Kiel,"['Ausstellung', 'Kultur']",15.10.2024,ganztägig
345,Kultur-Rausch: Kieler-Kultur-Wochen,Welcome Center Kieler Förde,"['Kultur', 'Lesungen', 'Nachtleben', 'Konzert']",15.10.2024,ganztägig
346,"Kiel, Du bist gefragt!",Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultursommer', 'Kultur']",15.10.2024,10:00 - 18:00 Uhr
