,Title,Location,Categories,Date,Time
240,Alles andere als grau,Förderverein Freya-Frahm-Haus,['Ausstellung'],12.10.2024,14:00 - 18:00 Uhr
241,Armstrong,Mediendom,"['Kultursommer', 'Kinderprogramm']",12.10.2024,14:00 - 15:00 Uhr
242,Stadtspaziergang,Welcome Center Kieler Förde,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",12.10.2024,14:00 - 15:30 Uhr
243,Land der Legenden - Die Norddeutschen Realisten in der Bretagne,Künstlermuseum Heikendorf,"['Ausstellung', 'Kultur']",12.10.2024,14:00 - 17:00 Uhr
244,Senior*innentanznachmittag mit DJ Siggi,Die Pumpe e.V.,"['Kultur', 'Sport/Freizeit']",12.10.2024,14:30 - 18:00 Uhr
245,"Kunst, Kultur & Käsekuchen",Stadtmuseum Warleberger Hof,"['Führung/Besichtigung', 'Kultur']",12.10.2024,14:30 - 16:30 Uhr
246,Hafenrundfahrt Kiel,Anleger Bahnhofsbrücke,"['Führung/Besichtigung', 'Kultur', 'Kultursommer']",12.10.2024,15:00 Uhr
247,Auf Wasserwegen | Skulpturen und Zeichnungen von Michael Jastram,Galerie Brennwald,['Ausstellung'],12.10.2024,15:00 - 18:00 Uhr
248,Ladies Night – Ganz oder gar nicht,Lore & Lay Theater-Frachter,"['Kultur', 'Theater']",12.10.2024,16:00 - 18:30 Uhr
249,Frederick - Mäusegeschichten,Werftparktheater Kiel,"['Theater', 'Kinderprogramm']",12.10.2024,16:00 - 17:15 Uhr
250,Dinosaurier und das Abenteuer des Fliegens,Mediendom,"['Kinderprogramm', 'Kultursommer', 'Kultur']",12.10.2024,15:30 - 16:30 Uhr
251,Ladies Night – Ganz oder gar nicht,Lore & Lay Theater-Frachter,"['Kultur', 'Theater']",12.10.2024,16:00 - 18:30 Uhr
252,Frederick - Mäusegeschichten,Werftparktheater Kiel,"['Theater', 'Kinderprogramm']",12.10.2024,16:00 - 17:15 Uhr
253,Der Sprung ins All – das Abenteuer der Raumfahrt,Mediendom,"['Kultur', 'Kultursommer']",12.10.2024,17:00 - 18:00 Uhr
254,Rathauskonzert Heikendorf,Offene Ganztagsschule Heikendorf,"['Konzert', 'Kultur']",12.10.2024,17:00 Uhr
255,Klavierabend,Bethlehem-Kirche,"['Konzert', 'Kultur']",12.10.2024,18:00 - 20:15 Uhr
256,Ole Leev (Alte Liebe),Niederdeutsche Bühne,"['Theater', 'Kultur']",12.10.2024,18:00 - 20:00 Uhr
257,Milliarden Sonnen – eine Reise durch die Galaxis,Mediendom,"['Kultursommer', 'Kultur']",12.10.2024,18:30 - 19:30 Uhr
258,Irish-Folk-Konzert mit Paddy Schmidt,Heikendörper Speeldeel,['Konzert'],12.10.2024,19:00 - 23:30 Uhr
259,Sing & strum - das Ukulelen-Mitmachkonzert,Ev.-Luth. Michaelis-Kirchengemeinde Kiel,"['Konzert', 'Kultur']",12.10.2024,19:00 - 21:30 Uhr
