,Category,Title,Date,Time,Location,City
2222,Ausstellungen,DAVOS LIEGT AN DER TRAVE,12.10.2024,14:00 - 16:00 Uhr,"Buddenbrooks am Markt, Markt 15",Lübeck
2223,sonstige Ausflüge & Führungen,DAVOS LIEGT AN DER TRAVE,12.10.2024,14:00 Uhr,"Treffpunkt: Museumshop ""Buddenbrooks am Markt""",Lübeck
2224,sonstige Seminare & Kurse,DEUTSCHES MALER- UND LACKIERERMUSEUM,12.10.2024,14:00 Uhr,Deutsches Maler- und Lackierer-Museum,Hamburg
2225,N/A,N/A,N/A,N/A,N/A,N/A
2226,"Ausflüge, Kinder, Natur",FAMILIENWATTFüHRUNG,12.10.2024,14:00 Uhr,Wiese am Fähranleger,Wittdün auf Amrum
2227,"Familie / Kinder, Führung, Outdoor, Wattwanderung",FAMILIENWATTWANDERUNG MIT SCHATZSUCHE AUF AMRUM,12.10.2024,14:00 - 15:30 Uhr,"Wittdün, Wiese am Fähranleger",Wittdün
2228,sonstige Seminare & Kurse,FRIEDEL ANDERSON. BIS JETZT,12.10.2024,14:00 - 17:00 Uhr,Wenzel-Hablik-Museum,Itzehoe
2229,"Ausstellung, Barrierefrei, Familie & Kinder, Familie / Kinder, Führung, Indoor, Naturkunde, Vogelkundliche Führungen",FüHRUNG: NEUE VOGELWELT IM BELTRINGHARDER KOOG,12.10.2024,14:00 - 14:30 Uhr,"Info-Pavillon Lüttmoorsiel - Integrierte Station Westküste, Beltringharder Koog 4, 25821 Reußenköge",Reußenköge
2230,"Electronic & Dance, Familie & Kinder, Gottesdienste, kulinarische Feste, sonstige Konzerte, Volksfeste",HEMMELSDORFER ERNTEDANK,12.10.2024,14:00 Uhr,Feuerwehrgerätehaus Hemmelsdorf,Hemmelsdorf
2231,Stadtfeste & Märkte,HERBSTJAHRMARKT UND LECKER LANDMARKT,12.10.2024,14:00 Uhr,Kirchplatz in Leck,Leck
2232,sonstige Ausflüge & Führungen,HERBSTSPAZIERGANG IM TöNSHEIDER WALD,12.10.2024,14:00 Uhr,Treffpunkt: Fachklinik Aukrug (Foyer),Aukrug
2233,Sonstiges,HöFE UND GäNGE TOUR: VERSTECKTE WINKEL DER ALTSTADT,12.10.2024,14:00 - 15:30 Uhr,"vor dem Burgtor auf der Stadtaußenseite (Burgtorbrücke 2, 23552 Lübeck)",Lübeck
2234,Familie & Kinder,KäPT'N KELLI RALLYE,12.10.2024,14:00 - 17:00 Uhr,Käpt´n Kelli Club,Kellenhusen
2235,Sonstiges,KLASSISCHE STADTFüHRUNG: DIE SCHöNSTEN SEHENSWüRDIGKEITEN,12.10.2024,14:00 - 15:30 Uhr,am Holstentor auf Seite der Grünanlage,Lübeck
2236,N/A,N/A,N/A,N/A,N/A,N/A
2237,sonstige Seminare & Kurse,LICHTEHäUSER,12.10.2024,14:00 - 17:00 Uhr,Kreativwerkstatt Kattenberg,Cismar
2238,Rundfahrten,MINI-KREUZFAHRT,12.10.2024,14:00 - 16:30 Uhr,Anleger Hafen Kollmar,Kollmar
