,Category,Title,Date,Time,Location,City
624,"Führung, Outdoor, Vogelkundliche Führungen",FüHRUNG: FASZINATION VOGELZUG,06.10.2024,13:30 - 15:00 Uhr,"Deichstraße (Parkplatz Stufhusen), 25881 Westerhever",Westerhever
625,Sonstiges,STADTFüHRUNG: GäNGE UND HöFE IM DOMVIERTEL,06.10.2024,13:30 - 15:00 Uhr,"Buddenbrooks am Markt, Markt 15",Lübeck
626,sonstige Ausflüge & Führungen,STADTFüHRUNG: GäNGE UND HöFE IM DOMVIERTEL,06.10.2024,13:30 Uhr,Treffpunkt: Buddenbrook Shop,Lübeck
627,N/A,N/A,N/A,N/A,N/A,N/A
628,"Ausflüge, Natur",SEETIERFANG & FAHRT IM LEBENSRAUM DER SEEHUNDE,06.10.2024,13:40 Uhr,"""MS Adler Rüm Hart"", Anleger Hafen",Wyk
629,sonstige Seminare & Kurse,"""GESCHICHTE DER HERINGSLOGGEREI""",06.10.2024,14:00 - 17:00 Uhr,Detlefsen-Museum,Glückstadt
630,"Kinder, Natur","""HUMMER HAUTNAH""",06.10.2024,14:00 Uhr,Naturzentrum Amrum,Norddorf auf Amrum
631,Natur,"""ZEITSPRüNGE""",06.10.2024,14:00 Uhr,"Norddorf, Kiosk an der Vogelkoje",Nebel
632,"Sport, Spiel und Wellness",BOWLING – DART – KICKER – FRISCHE PIZZA,06.10.2024,14:00 Uhr,Bi Jaine Bowlingcenter,Borgsum
633,"Familie, Familie & Kinder, Kulinarisch, Tradition",CAFé UND MUSEUM IM HANS-MOMSEN-HAUS,06.10.2024,14:00 - 17:00 Uhr,Hans-Momsen-Haus,Dagebüll
634,Ausstellungen,"DAS HOLSTENTOR, LüBECK UND DIE WELT - MACHT DURCH HANDEL",06.10.2024,14:00 - 15:00 Uhr,Museum Holstentor,Lübeck
635,sonstige Ausflüge & Führungen,"DAS HOLSTENTOR, LüBECK UND DIE WELT - MACHT DURCH HANDEL",06.10.2024,14:00 Uhr,Museum Holstentor,Lübeck
636,sonstige Seminare & Kurse,DEUTSCHES MALER- UND LACKIERERMUSEUM,06.10.2024,14:00 Uhr,Deutsches Maler- und Lackierer-Museum,Hamburg
637,Sonstiges,DIE HALBE STUNDE PFLANZENKUNDE,06.10.2024,14:00 - 14:30 Uhr,Café Mehlbeere,Großenbrode
638,N/A,N/A,N/A,N/A,N/A,N/A
639,"Ausstellung, Familie & Kinder, Familie / Kinder, Indoor, Malen & Basteln",ESCAPE GAME IN DER ARCHE WATTENMEER,06.10.2024,14:00 - 15:00 Uhr,Arche Wattenmeer,Hörnum
640,"Ausstellung, Barrierefrei, Familie & Kinder, Familie / Kinder, Führung, Indoor, Naturkunde, Vogelkundliche Führungen",FüHRUNG: NEUE VOGELWELT IM BELTRINGHARDER KOOG,06.10.2024,14:00 - 14:30 Uhr,"Info-Pavillon Lüttmoorsiel - Integrierte Station Westküste, Beltringharder Koog 4, 25821 Reußenköge",Reußenköge
641,sonstige Religion,"GOTTESDIENST ZU ERNTEDANK MIT DEM CHOR, HOF SCHRAMM, PASTORIN MODROW",06.10.2024,14:00 Uhr,Kirche Klein Wesenberg,Klein Wesenberg
642,(Stadt)führungen,HISTORISCHE STADTFüHRUNG,06.10.2024,14:00 - 15:30 Uhr,Glückstadt Innenstadt,Glückstadt
643,Sonstiges,HöFE UND GäNGE TOUR: VERSTECKTE WINKEL DER ALTSTADT,06.10.2024,14:00 - 15:30 Uhr,"vor dem Burgtor auf der Stadtaußenseite (Burgtorbrücke 2, 23552 Lübeck)",Lübeck
644,sonstige Ausflüge & Führungen,KRäUTERWANDERUNG IM SACHSENWALD,06.10.2024,14:00 - 16:30 Uhr,Sachsenwald,Aumühle
645,Ausstellungen,NEUE VOGELWELT IM BELTRINGHARDER KOOG | INTEGRIERTE STATION WESTKüSTE,06.10.2024,14:00 - 14:45 Uhr,"Integrierte Station Westküste ""Lüttmoorsiel"", Beltringharder Koog 4, 25821 Reußenköge",Reußenköge
646,"Kreativ, Workshops & Kurse",NOLDE MUSEUM SEEBüLL,06.10.2024,14:00 - 17:00 Uhr,Nolde Museum Seebüll,Neukirchen
647,"(Stadt)führungen, sonstige Ausflüge & Führungen",OFFENE SCHLEUSENFüHRUNG,06.10.2024,14:00 - 15:30 Uhr,"Schleusen, Brunsbüttel",Brunsbüttel
648,sonstige Ausflüge & Führungen,OFFENE SCHLEUSENFüHRUNG,06.10.2024,14:00 - 15:30 Uhr,Gustav-Meyer-Platz Brunsbüttel,Brunsbüttel
649,N/A,N/A,N/A,N/A,N/A,N/A
650,sonstige Seminare & Kurse,PROVIANTHAUS ATELIERS,06.10.2024,14:00 - 17:00 Uhr,Provianthaus Glückstadt,Glückstadt
651,"Familie / Kinder, Führung, Outdoor, Schiffstour",SEETIERFANGFAHRT ZU DEN SEEHUNDSBäNKEN AB HAFEN HöRNUM,06.10.2024,14:00 - 15:30 Uhr,"Hafenstraße, 25997 Hörnum",Hörnum / Sylt
652,sonstige Seminare & Kurse,UTA MASCH VON EBENEN UND UFERN - MALEREI,06.10.2024,14:00 - 17:00 Uhr,Galerie Stehr,Tornesch
653,Ausstellungen,ZINNBILDER – DIE MINIATURENWELT DES DIETHER SCHUHKNECHT,06.10.2024,14:00 - 17:00 Uhr,Museum für Regionalgeschichte Pönitz,Pönitz
654,"Führung, Outdoor",FüHRUNG: DIE VOGELWELT AUF HALLIG HOOGE (AB LANDSENDE),06.10.2024,14:15 - 16:15 Uhr,Landsende am Deich,Hooge
655,"FÖHRgreen Erlebnis, Führung",HAFENFüHRUNG,06.10.2024,14:30 - 15:45 Uhr,Flaggenmast vor dem Wyker WDR-Gebäude,Wyk
656,(Stadt)führungen,VON FRAU ZU FRAU,06.10.2024,14:30 Uhr,Schloss Ahrensburg,Ahrensburg
657,Natur,"""UNSER POTTWAL""",06.10.2024,15:00 Uhr,Naturzentrum / Pottwalausstellung,Norddorf auf Amrum
658,"Bernsteinschleifen / Basteln, Familie & Kinder, Familie / Kinder, Führung, Indoor, Malen & Basteln, Nationalpark & Wattenmeer, Naturkunde, Vortrag",BERNSTEINSCHLEIFEN FüR KLEIN UND GROẞ AUF LANGENEẞ,06.10.2024,15:00 - 17:00 Uhr,"Nationalpark-Seminarhaus Langeneß, Peterswarf 2, 25863 Hallig Langeneß",Hallig Langeneß
659,Zirkus,CIRCUS SYNAESTHESIA BLAU - ZAMPANOS WELT,06.10.2024,15:00 - 16:50 Uhr,Grünfläche am Dom,Lübeck
660,N/A,N/A,N/A,N/A,N/A,N/A
661,Zirkus,CIRCUS SYNAESTHESIA BLAU - ZAMPANOS WELT,06.10.2024,15:00 Uhr,Grünfläche am Dom,Lübeck
662,Sonstiges,FIESTA LATINA XXL GALA EDITION 2024,06.10.2024,15:00 - 23:59 Uhr,verschiedene Orte in Travemünde,Travemünde
663,sonstige Ausflüge & Führungen,FüHRUNG DURCH DEN ROSENGARTEN,06.10.2024,15:00 Uhr,Rosen - Garten - Kultur,Stoltenberg
664,Humor,HIMMLISCHE ZEITEN,06.10.2024,15:00 Uhr,Theaterschiff Lübeck,Lübeck
665,Kabarett,HIMMLISCHE ZEITEN,06.10.2024,15:00 - 17:00 Uhr,Theaterschiff Lübeck,Lübeck
666,Theater,JAKES FRAUEN - THEATER 47,06.10.2024,15:00 Uhr,Rathaus Barsbüttel,Barsbüttel
667,Film / Theater,LENAS FENSTER,06.10.2024,15:00 - 15:45 Uhr,KOLK 17 Figurentheater & Museum zu Gast im Europäischen Hansemuseum,Lübeck
668,sonstige Ausflüge & Führungen,MUSEUMSFüHRUNG FüR FAMILIEN,06.10.2024,15:00 - 17:00 Uhr,Deutsches Baumschulmuseum,Pinneberg
669,Segeln & Yachting,NIGHTSAILING MIT WATERSPORTSLüBECKERBUCHT | SEGELTöRN,06.10.2024,15:00 - 23:30 Uhr,ab / an: Fischereihafen Travemünde oder BÖBS-Werft,Travemünde
670,Sonstiges,OFFENE KIRCHE,06.10.2024,15:00 - 18:00 Uhr,St.-Andreas-Kirche,Lübeck
671,N/A,N/A,N/A,N/A,N/A,N/A
672,N/A,POESIE HAT AUSGANG,06.10.2024,15:00 - 16:30 Uhr,KUB,Bad Oldesloe
673,"(Stadt)führungen, sonstige Ausflüge & Führungen",PRINZENHAUSFüHRUNG IN PLöN,06.10.2024,15:00 - 15:45 Uhr,Prinzenhaus,Plön
674,Segeln & Yachting,SEGELTöRNS IN DIE LüBECKER BUCHT | NACHMITTAGS,06.10.2024,15:00 - 18:00 Uhr,ab / an: Fischereihafen Travemünde oder BÖBS-Werft,Travemünde
675,sonstige Ausflüge & Führungen,SONNTAGSDIALOGE IN DER KUNSTHALLE | SUNDAY DIALOGUES AT THE KUNSTHALLE,06.10.2024,15:00 Uhr,Kunsthalle St. Annen,Lübeck
676,Ausstellungen,SONNTAGSDIALOGE IN DER KUNSTHALLE | SUNDAY DIALOGUES AT THE KUNSTHALLE,06.10.2024,15:00 - 16:00 Uhr,Kunsthalle St. Annen,Lübeck
677,Sonstiges,TANGO ARGENTINO - 1/A,06.10.2024,15:00 - 16:30 Uhr,Tanzsaal Willers-Jessen-Schule,Eckernförde
678,"Barrierefrei, Bernsteinschleifen / Basteln, Familie / Kinder, Führung, Indoor, Vortrag",WORKSHOP: BERNSTEIN - STRANDFUNDE IN HöRNUM/SYLT,06.10.2024,15:00 - 16:30 Uhr,"Rantumer Straße 20, 25997 Hörnum",Hörnum
679,Theater & Schauspiel,ZAMPANOS WELT,06.10.2024,15:00 - 16:30 Uhr,Arbeitsgemeinschaft Kulturtreibhaus,Lübeck
680,Shows & Varieté,DER ZAUBERLEHRLING - SHOW FüR KINDER + ERWACHSENE MIT CHRISTIAN BRANDES,06.10.2024,16:00 - 17:00 Uhr,KBH Marne,Marne
681,Theater,DES KAISERS NEUE KLEIDER,06.10.2024,16:00 Uhr,Theater am Tremser Teich,Lübeck
682,N/A,N/A,N/A,N/A,N/A,N/A
683,Theater & Schauspiel,DES KAISERS NEUE KLEIDER,06.10.2024,16:00 - 17:00 Uhr,Theater am Tremser Teich,Lübeck
684,Klassik,FANTASIEBILDER MIT DEM ONYX KLAVIERDUO,06.10.2024,16:00 - 17:30 Uhr,Kleines Theater Bargteheide,Bargteheide
685,sonstige Konzerte,FEIERLICHES SAISONABSCHLUSSKONZERT IN BOSAU,06.10.2024,16:00 Uhr,St. Petri-Kirche Bosau,Bosau
686,sonstige Seminare & Kurse,"FRIEDEL ANDERSON ""BIS JETZT"" - MALEREI 1984 - 2024",06.10.2024,16:00 - 21:00 Uhr,Detlefsen-Museum,Glückstadt
687,sonstige Konzerte,HERBSTLICHES KONZERT MIT DEM CHOR DE TRAVEMüNDER,06.10.2024,16:00 Uhr,Kirche St. Georg Travemünde,Travemünde
688,Musikveranstaltungen,HERBSTLICHES KONZERT MIT DEM CHOR DE TRAVEMüNDER,06.10.2024,16:00 - 17:00 Uhr,Kirche St. Georg,Travemünde
689,Theater,JEEPS,06.10.2024,16:00 Uhr,Theater Lübeck (Kammerspiele),Lübeck
690,Theater & Schauspiel,JEEPS,06.10.2024,16:00 - 17:30 Uhr,"Theater Lübeck, Kammerspiele",Lübeck
691,"Familie & Kinder, sonstige Kunst & Kultur, Theater","PUPPENTHEATER: ""DIE DREI SPINNERINNEN""",06.10.2024,16:00 - 17:00 Uhr,Umweltzentrum Uhlenkolk,Mölln
692,N/A,ROMANTIK PUR,06.10.2024,16:00 - 18:30 Uhr,Atlantic Grand Hotel Ballsaal,Lübeck Travemünde
693,N/A,N/A,N/A,N/A,N/A,N/A
694,sonstige Konzerte,STYLUS PHANTASTICUS,06.10.2024,16:00 Uhr,Kirche St. Gabriel zu Haseldorf,Haseldorf
695,Theater,UP DüVELS SCHUVKAR - TANGSTEDT,06.10.2024,16:00 Uhr,Alter Heidkrug Kayhude,Kayhude
696,sonstige Kunst & Kultur,DIE NIERE,06.10.2024,17:00 Uhr,Comödie Lübeck,Lübeck
697,Theater & Schauspiel,DIE NIERE,06.10.2024,17:00 - 18:50 Uhr,Comödie Lübeck,Lübeck
698,sonstige Religion,ERNTEDANKGOTTESDIENST,06.10.2024,17:00 Uhr,St. Annen Kirche,Herzhorn
699,sonstige Religion,JUGENDGOTTESDIENST UND PIZZAESSEN,06.10.2024,17:00 Uhr,Haus der Begegnung Bad Oldesloe,Bad Oldesloe
700,Klassik,JULIAN (JOO-YOUNG) KIM PRäSENTIERT: MEISTER DER ROMANTIK: SCHUMANN UND BRAHMS,06.10.2024,17:00 - 19:00 Uhr,Haus des Kurgastes Friedrichskoog,Friedrichskoog
701,Musikveranstaltungen,"KONZERT: REQUIEM, GABRIEL FAURé",06.10.2024,17:00 - 18:00 Uhr,Friedrich-von-Bodelschwingh-Kirche,Lübeck
702,Sonstiges,LEBENSBAUM-INTERKULTURELLES THEATER-PROJEKT FüR FRAUEN,06.10.2024,17:00 - 20:00 Uhr,Aranat e.V. Frauenkommunikationszentrum,Lübeck
703,sonstige Konzerte,"LOB DER LIEBE, LOB DES WEINES",06.10.2024,17:00 Uhr,Kulturzentrum Marstall Ahrensburg (Reithalle),Ahrensburg
704,N/A,N/A,N/A,N/A,N/A,N/A
705,sonstige Ausflüge & Führungen,MS HANSA | TRAVEFAHRT VON TRAVEMüNDE NACH LüBECK,06.10.2024,17:00 Uhr,Anleger Kaiserbrücke Travemünde,Travemünde
706,Rundfahrten,MS HANSE | TRAVEFAHRT VON LüBECK NACH TRAVEMüNDE,06.10.2024,17:00 Uhr,Anleger Hansekai,Lübeck
707,sonstige Konzerte,ORGELHERBST 2024: MIT FEUER UND FARBE,06.10.2024,17:00 Uhr,Lutherkirche Lägerdorf,Lägerdorf
708,sonstige Ausflüge & Führungen,PREISSKAT & KNIFFELN,06.10.2024,17:00 - 23:00 Uhr,Vereinsheim Schützenverein,Großenbrode
709,"Gesundheit, Wellness/Entspannung",SONNTAGS SPECIAL – HERBSTZAUBER,06.10.2024,17:00 - 18:30 Uhr,Seelenlauscherei,Pelzerhaken
710,"Abend / Nacht, Familie / Kinder, Führung, Outdoor",IM DUNKELN AM DEICH - ABENDWANDERUNG MIT ALLEN SINNEN,06.10.2024,17:30 - 18:30 Uhr,"Süderdeich, Beginn des Trischendammes, 25718 Friedrichskoog-Spitze",Friedrichskoog-Spitze
711,"Abend- und Nachtwanderungen, Abend / Nacht, Brauchtum / Tradition, Familie & Kinder, Familie / Kinder, Führung, Naturkunde, Outdoor",LITERARISCHE WANDERUNG BEI SONNENUNTERGANG AUF NORDSTRAND,06.10.2024,17:30 - 19:00 Uhr,"Strandabgang Fuhlehörn, Westen 93, 25845 Nordstrand",Nordstrand
712,"Familie & Kinder, Kinder, Natur",RABE RüDIGER UND ROBBE REDFORD LADEN EIN!,06.10.2024,17:30 Uhr,Robbenzentrum,Wyk
713,sonstige Konzerte,25 JAHRE COLORS OF GRACE & 875 JAHRE ST. JACOBI- DOPPELJUBILäUMSKONZERT,06.10.2024,18:00 Uhr,Vicelinkirche St. Jakobi,Bornhöved
714,Theater & Schauspiel,DER DURCHBRUCH,06.10.2024,18:00 - 19:40 Uhr,Theater Combinale,Lübeck
715,N/A,N/A,N/A,N/A,N/A,N/A
716,Oper & Operette,DIE LUSTIGE WITWE,06.10.2024,18:00 Uhr,Theater Lübeck (Großes Haus),Lübeck
717,Oper & Operette,DIE LUSTIGE WITWE,06.10.2024,18:00 - 20:20 Uhr,"Theater Lübeck, Großes Haus",Lübeck
718,Party,HEILIGENHAFENER OKTOBERFEST,06.10.2024,18:00 Uhr,Kursaal,Heiligenhafen
719,Musikveranstaltungen,JUBILäUMSKONZERT - 10 JAHRE BAFF! -,06.10.2024,18:00 - 20:00 Uhr,St.-Martin-Kirche,Lübeck
720,sonstige Seminare & Kurse,LEUCHTENDE SCHäTZE,06.10.2024,18:00 - 20:00 Uhr,Nathan-Söderblom-Kirche Reinbek,Reinbek
721,sonstige Konzerte,MUSICA LATINA,06.10.2024,18:00 Uhr,St. Johanneskirche Ahrensburg,Ahrensburg
722,"Führung, Natur",NATURKUNDLICHE FüHRUNG: ABENDSPAZIERGANG AM WATTENMEER IN SCHLüTTSIEL,06.10.2024,18:00 - 19:30 Uhr,Infoturm Watt´n Blick Schlüttsiel,Ockholm
723,"Abend- und Nachtwanderungen, Abend / Nacht, Familie / Kinder, Führung, Nationalpark & Wattenmeer, Outdoor, sonstige Ausflüge & Führungen",NORDSEE AM ABEND - ABENDWANDERUNG AUF DEM BüSUMER DEICH,06.10.2024,18:00 - 19:30 Uhr,"Deich vor dem Büsumer Leuchtturm, 25761 Büsum",Büsum
724,sonstige Konzerte,"ORGELKONZERT ""DIE GROẞEN BACHWERKE ... PLUS (XVIII)""",06.10.2024,18:00 Uhr,Vicelinkirche Neumünster,Neumünster
725,Sonstiges,TONY YUN - KLAVIERKONZERT,06.10.2024,18:00 - 20:00 Uhr,Arbeitsgemeinschaft Kulturtreibhaus,Lübeck
726,N/A,N/A,N/A,N/A,N/A,N/A
727,Theater & Schauspiel,DIE VERWANDLUNG,06.10.2024,18:30 - 19:45 Uhr,"Theater Lübeck, Studio",Lübeck
728,Theater,DIE VERWANDLUNG,06.10.2024,18:30 Uhr,Theater Lübeck (Junges Studio),Lübeck
729,sonstige Religion,ABENDGOTTESDIENST,06.10.2024,19:00 Uhr,Vicelinkirche Pronstorf,Pronstorf
730,Ausstellungen,"AUSSTELLUNG ""TEXT TRIFFT TANKE""",06.10.2024,19:00 - 18:00 Uhr,Kunsttankstelle,Lübeck
731,Humor,LUKE MOCKRIDGE - FUNNY TIMES,06.10.2024,19:00 Uhr,Kolosseum zu Lübeck,Lübeck
732,Humor,MäNNERABEND,06.10.2024,19:00 Uhr,Stadttheater Elmshorn,Elmshorn
733,Tanzen,SZENISCHES KONZERT,06.10.2024,19:00 - 20:15 Uhr,TanzTheaterEutin,Eutin
734,(Stadt)führungen,WEIMAR: KULTUR UND GESCHICHTE - EINE REISE IN DIE WELT VON GOETHE UND SCHILLER - BILDUNGSREISE,06.10.2024,19:00 Uhr,"Hotel Amalienhof, Amalienstraße 2, 99423 Weimar",VHS Schenefeld
735,Musikveranstaltungen,MUSIKALISCHE ABENDGEDANKEN ZU ERNTEDANK,06.10.2024,20:00 Uhr,St.-Laurentii-Kirche,Süderende
736,Rock & Pop,TOM & LILY - LIVE DUO,06.10.2024,21:00 Uhr,CASINO LÜBECK,Lübeck
737,N/A,N/A,N/A,N/A,N/A,N/A
738,Musikveranstaltungen,PETRIVISION,06.10.2024,23:00 - 00:00 Uhr,St. Petri zu Lübeck,Lübeck
739,"Familie, Familie & Kinder, Herbst, Lesungen, Tradition, Unterhaltung, Vortrag",ERZäHL MIR WAS! AUF EIDERSTEDT,06.10.2024,ganztägig,Eiderstedt,Eiderstedt
740,Stadtfeste & Märkte,FISCHMARKT,06.10.2024,ganztägig,"Ostkaje (Fischmarktkaje), Binnenhafen",Wyk
741,sonstige Kunst & Kultur,OFFENE ATELIER-TAGE,06.10.2024,ganztägig,verschiedene Standorte in Hohwacht,Hohwacht
742,"Sport, Spiel und Wellness",PADEL - LANDESMEISTERSCHAFT SCHLESWIG-HOLSTEIN,06.10.2024,ganztägig,GreenTEC Campus GmbH,Enge-Sande
743,Musikveranstaltungen,INTERNATIONALER ORGELZYKLUS JOHANN SEBASTIAN BACH,07.10.2024,00:00 Uhr,Lübecker Innenstadtkirchen,Lübeck
744,Sonstiges,QUARTIERSARBEIT DER VERBRAUCHERZENTRALE SCHLESWIG-HOLSTEIN,07.10.2024,00:00 Uhr,Verbraucherzentrale Schleswig Holstein,Lübeck
745,Sonstiges,SICHT_FELDER FüR LüBECK,07.10.2024,01:00 Uhr,Arbeitsgemeinschaft Kulturtreibhaus,Lübeck
746,sonstige Seminare & Kurse,FOTOAUSSTELLUNG „ÜBERGäNGE“ DES FOTOCLUBS NORDERSTEDT E.V.,07.10.2024,05:00 - 22:00 Uhr,Stadtpark Norderstedt,Norderstedt
747,Rundfahrten,LüHE SCHULAU FäHRE AB WEDEL,07.10.2024,06:30 Uhr,Anleger Schulauer Hafen,Wedel
748,sonstige Feste & Märkte,WOCHENMARKT TRAVEMüNDE,07.10.2024,07:30 - 13:00 Uhr,Wochenmarkt Travemünde,Travemünde
749,sonstige Ausflüge & Führungen,"""BEI WIND UND WETTER""",07.10.2024,08:00 - 08:30 Uhr,Rückseite / Apsis der Klosterkirche,Cismar
750,sonstige Seminare & Kurse,DAS POLNISCHE PLAKAT,07.10.2024,08:00 - 13:00 Uhr,Rathaus Reinbek,Reinbek
751,sonstige Seminare & Kurse,"FOTOAUSSTELLUNG ""STRUKTUREN""",07.10.2024,08:00 - 12:00 Uhr,Rathaus Bad Segeberg,Bad Segeberg
752,sonstige Gesundheit,VENENMESSUNG,07.10.2024,08:00 - 18:30 Uhr,Nicolai Apotheke am Ochsenkopf,Eckernförde
753,Ausstellungen,WEIT MEHR ALS MEER | KUNSTWERKE AUS LEIDENSCHAFT,07.10.2024,08:00 - 17:00 Uhr,Kanzlei am Hafen,Travemünde
754,sonstige Seminare & Kurse,WINDART SKULPTUREN WALK,07.10.2024,08:00 Uhr,verschiedene Spielstätten in Travemünde,Travemünde
755,Ausstellungen,WINDART SKULPTUREN WALK,07.10.2024,08:00 - 23:00 Uhr,verschiedene Orte in Travemünde,Travemünde
756,sonstige Kunst & Kultur,"AUSSTELLUNG ""BLICKFANG""",07.10.2024,09:00 - 12:00 Uhr,Rathaus,Heiligenhafen
757,N/A,HURRICANE BOOTSVERMIETUNG TRAVEMüNDE | MOTORBOOTE,07.10.2024,09:00 - 18:00 Uhr,"Hurricane BootsVermietung Travemünde, Prinzenbrücke",Travemünde
758,Ausstellungen,SUTSCHE TOUR,07.10.2024,09:00 - 18:00 Uhr,sutsche tour,Lübeck
759,N/A,"YOGA, TANZ, FUNCTIONAL TRAINING | KURSE NACH KURSPLAN",07.10.2024,09:00 - 21:00 Uhr,"Studio Esther Kemp | Yoga, Functional Training & Tanz",Travemünde
760,"Natur, Wattwanderung",GROẞE NATURKUNDLICHE WATTWANDERUNG ZUM HöRNUMTIEF UND DEN SEEHUNDSBäNKEN,07.10.2024,09:15 Uhr,"Deichparkplatz, ""Zum Wattenläufer""",Dunsum
761,sonstige Seminare & Kurse,ERINNERN! DIE KINDER VOM BULLENHUSER DAMM (SONDERAUSSTELLUNG),07.10.2024,09:30 - 16:00 Uhr,KZ-Gedenkstätte Neuengamme,Hamburg
762,sonstige Sportveranstaltungen,GESUND & ENTSPANNT - WALDBADEN,07.10.2024,09:30 - 11:30 Uhr,Waldparkplatz,Kellenhusen
763,Ausstellungen,KUNSTAUSSTELLUNG MICHAEL WEIGEL,07.10.2024,09:30 - 18:30 Uhr,Galerie im Maritim,Travemünde
764,"Familie / Kinder, Führung, Outdoor, Wattwanderung",KURZE WATTWANDERUNG AM SüDSTRAND FüR EINSTEIGER,07.10.2024,09:30 - 10:30 Uhr,"Bushaltestelle Südstrand, St. Peter-Ording",St. Peter-Ording
765,Familie & Kinder,MAL- UND SPIELSPAẞ FüR KINDER,07.10.2024,09:30 - 11:30 Uhr,Strandhaus,Grömitz
766,Sonstiges,STRANDHAUS GEöFFNET,07.10.2024,09:30 - 13:00 Uhr,Strandhaus,Grömitz
767,"Ausflüge, Natur",WATTWANDERUNG NACH FöHR,07.10.2024,09:30 Uhr,"Fußgängerzone, ""Strandläufer""",Norddorf auf Amrum
768,"Familie / Kinder, Führung, Nationalpark & Wattenmeer, Naturkunde, Outdoor, Wattwanderung, Wattwanderungen",FüHRUNG: KLEINE WATTWANDERUNG AUF FöHR,07.10.2024,09:45 - 11:45 Uhr,"vor der Einfahrt zum Nationalpark-Haus Föhr, Strandstraße 60, 25938 Wyk",Wyk auf Föhr
769,"FÖHRgreen Erlebnis, Natur, Wattwanderung",KLEINE WATTWANDERUNG AUF FöHR,07.10.2024,09:45 Uhr,"Ende Strandstraße, beim öffentlichen Toilettenhaus",Wyk
770,"Ausstellung, Barrierefrei, Familie / Kinder, Führung, Indoor, Vortrag",AQUARIENFüHRUNG MIT FüTTERUNG DER TIERE,07.10.2024,10:00 - 11:00 Uhr,"Nationalpark-Haus, Maleens Knoll 2, St. Peter-Ording",St. Peter-Ording
771,Familie & Kinder,AQUARIENFüHRUNG MIT FüTTERUNG DER TIERE,07.10.2024,10:00 - 11:00 Uhr,Nationalpark-Haus,St. Peter-Ording
772,Ausstellungen,AUGMENTED REALITY-TOUR »TATORT GERRESHEIM«,07.10.2024,10:00 - 17:00 Uhr,Günter Grass-Haus,Lübeck
773,Familie & Kinder,BASTELVORMITTAG - BASTELN VON URLAUBSERINNERUNGEN,07.10.2024,10:00 - 12:00 Uhr,Käpt´n Kelli Klub,Kellenhusen
774,Sonstiges,FRIEDHOFSRUNDGANG,07.10.2024,10:00 - 11:00 Uhr,Petruskapelle auf dem Friedhof,Lübeck
775,"Spielen, Quizzen & Gaming",HUNDEFOTOGRAFIE AM STRAND,07.10.2024,10:00 Uhr,Hundestrand,Eckernförde
776,N/A,KLETTERWALD TRAVEMüNDE,07.10.2024,10:00 - 19:00 Uhr,Kletterwald Travemünde,Travemünde
777,Familie & Kinder,KREATIV STUDIO - PORZELLAN UND T-SHIRTS BEMALEN,07.10.2024,10:00 - 12:00 Uhr,Abenteuerinsel,Burgtiefe / Südstrand
778,"Familie / Kinder, Führung, Outdoor, Wattwanderung",KURZE WATTWANDERUNG IN DEN NATIONALPARK UM HALLIG HOOGE,07.10.2024,10:00 - 12:00 Uhr,Deichabgang Schulwarft / Ockelützwarft,Hooge
779,sonstige Ausflüge & Führungen,MIT DER NORDERFäHRE ZUM PRIWALL,07.10.2024,10:00 Uhr,Treffpunkt: Fährplatz Travemünde,Travemünde
780,Sonstiges,MIT DER NORDERFäHRE ZUM PRIWALL,07.10.2024,10:00 - 22:30 Uhr,Personenfähre Nordermole,Travemünde
781,"Familie & Kinder, Kinder, Sport, Spiel und Wellness",MOIN KIDS! - FüR MORGENMUFFEL UND FRüHAUFSTEHER,07.10.2024,10:00 - 10:30 Uhr,"Musikpavillon, Veranstaltungszentrum",Wyk
782,"FÖHRgreen Erlebnis, Natur, Wattwanderung",NATURKUNDLICHE WATTWANDERUNG IM NIEBLUMER WATT,07.10.2024,10:00 - 12:00 Uhr,"Ende Strandstraße, am Parkplatz (vor dem Café ""Watt´s Up"")",Nieblum
783,N/A,QIGONG MIT DR. RENATE RIEMER,07.10.2024,10:00 - 11:15 Uhr,Dojo-Sochin oder Praxis Riemer (Info bei Anmeldung),Travemünde
784,Sonstiges,"SANDSKULPTUREN TRAVEMüNDE | LEGENDEN, MYTHEN UND SAGEN",07.10.2024,10:00 - 18:00 Uhr,Bootshallen am Fischereihafen,Travemünde
785,Familie & Kinder,SOCKENWüRMCHEN,07.10.2024,10:00 - 13:00 Uhr,KinderInsel bei der Seebrücke,Großenbrode
786,Fitness,"SPORTANIMATION ""FUNKTIONELLES GANZKöRPER WORKOUT"" - FIT MIT JASMIN",07.10.2024,10:00 - 11:00 Uhr,Pavillon im Ostsee-Ferienpark,Heiligenhafen
787,sonstige Ausflüge & Führungen,STEILKüSTEN-ENTDECKUNGSTOUR,07.10.2024,10:00 - 11:30 Uhr,Spielplatz am Yachthafen,Grömitz
788,Ausstellungen,TOUR DE GRASS,07.10.2024,10:00 - 17:00 Uhr,Günter Grass-Haus,Lübeck
789,sonstige Seminare & Kurse,TRANG NGUYEN - LEBENSFREUDE,07.10.2024,10:00 - 19:00 Uhr,Stadtbücherei Ahrensburg,Ahrensburg
790,sonstige Ausflüge & Führungen,WATTWANDERUNG IN BüSUM: WELTNATURERBE WATTENMEER,07.10.2024,10:00 Uhr,Treffpunkt: Leuchtturm Büsum,Büsum
